time	x	y	z	Vx	Vy	Vz
755145336.0000000000000000	-1960837.4793237634003162	-4339607.8092235485091805	4750565.0965907843783498	-3502.2457719522108164	-4286.2036973154617954	-5347.3696844708638309
755145346.0000000000000000	-1995731.0376031461637467	-4382185.3434839537367225	4696781.2400778643786907	-3476.3897151940909680	-4229.2100474339249558	-5409.2845194450619601
755145356.0000000000000000	-2030363.7558334020432085	-4424190.1603789227083325	4642381.7618001662194729	-3450.0783251912162086	-4171.6614657521004119	-5470.4926825144520990
755145366.0000000000000000	-2064731.0976753865834326	-4465616.7479616561904550	4587373.7689738664776087	-3423.3150107070664490	-4113.5654389812689260	-5530.9860893696286439
755145376.0000000000000000	-2098828.5611800295300782	-4506459.6695250663906336	4531764.4492028057575226	-3396.1032409275931059	-4054.9295281996928679	-5590.7567469805662768
755145386.0000000000000000	-2132651.6793905822560191	-4546713.5643408438190818	4475561.0695599066093564	-3368.4465450643383519	-3995.7613679298706302	-5649.7967547530952288
755145396.0000000000000000	-2166196.0209408504888415	-4586373.1483892304822803	4418770.9756570672616363	-3340.3485119479778405	-3936.0686652025738113	-5708.0983056763843706
755145406.0000000000000000	-2199457.1906493129208684	-4625433.2150793680921197	4361401.5907036317512393	-3311.8127896122664424	-3875.8591986077135516	-5765.6536874611529129
755145416.0000000000000000	-2232430.8301090309396386	-4663888.6359600890427828	4303460.4145535230636597	-3282.8430848683706245	-3815.1408173320769492	-5822.4552836683096757
755145426.0000000000000000	-2265112.6182732549495995	-4701734.3614210207015276	4244955.0227411370724440	-3253.4431628695774634	-3753.9214401839817583	-5878.4955748277407110
755145436.0000000000000000	-2297498.2720366297289729	-4738965.4213838670402765	4185893.0655061034485698	-3223.6168466663680192	-3692.2090546049112163	-5933.7671395469433264
755145446.0000000000000000	-2329583.5468119001016021	-4775576.9259837474673986	4126282.2668070085346699	-3193.3680167518541566	-3630.0117156681831148	-5988.2626556092145620
755145456.0000000000000000	-2361364.2371020256541669	-4811564.0662404512986541	4066130.4233241900801659	-3162.7006105975697210	-3567.3375450647326943	-6041.9749010610967161
755145466.0000000000000000	-2392836.1770676025189459	-4846922.1147194923833013	4005445.4034517155960202	-3131.6186221796278915	-3504.1947300760721191	-6094.8967552887770580
755145476.0000000000000000	-2423995.2410895004868507	-4881646.4261828251183033	3944235.1462786495685577	-3100.1261014952397090	-3440.5915225345202089	-6147.0212000831506884
755145486.0000000000000000	-2454837.3443266167305410	-4915732.4382291007786989	3882507.6605597296729684	-3068.2271540696096963	-3376.5362377707806445	-6198.3413206932345929
755145496.0000000000000000	-2485358.4432686492800713	-4949175.6719233384355903	3820271.0236755684018135	-3035.9259404532213011	-3312.0372535489673282	-6248.8503068676373005
755145506.0000000000000000	-2515554.5362837966531515	-4981971.7324158810079098	3757533.3805825007148087	-3003.2266757095248977	-3247.1030089891801254	-6298.5414538837812870
755145516.0000000000000000	-2545421.6641612867824733	-5014116.3095505163073540	3694302.9427522015757859	-2970.1336288930542651	-3181.7420034777346700	-6347.4081635645734423
755145526.0000000000000000	-2574955.9106486374512315	-5045605.1784616401419044	3630587.9871012014336884	-2936.6511225179933717	-3115.9627955651608318	-6395.4439452822207386
755145536.0000000000000000	-2604153.4029835569672287	-5076434.2001603366807103	3566396.8549104291014373	-2902.7835320172257525	-3049.7740018520939884	-6442.6424169488864209
755145546.0000000000000000	-2633010.3124203863553703	-5106599.3221092615276575	3501737.9507349142804742	-2868.5352851918942179	-2983.1842958631841611	-6488.9973059938874940
755145556.0000000000000000	-2661522.8547509899362922	-5136096.5787861989811063	3436619.7413037875667214	-2833.9108616515150061	-2916.2024069091571619	-6534.5024503271251888
755145566.0000000000000000	-2689687.2908200016245246	-5164922.0922361854463816	3371050.7544107167050242	-2798.9147922446823031	-2848.8371189371696346	-6579.1517992884528212
755145576.0000000000000000	-2717499.9270343286916614	-5193072.0726120788604021	3305039.5777949183247983	-2763.5516584804131526	-2781.0972693696066926	-6622.9394145826745444
755145586.0000000000000000	-2744957.1158668254502118	-5220542.8187034549191594	3238594.8580128960311413	-2727.8260919401805040	-2712.9917479314758566	-6665.8594711998812272
755145596.0000000000000000	-2772055.2563540381379426	-5247330.7184537248685956	3171725.2993010468780994	-2691.7427736806894245	-2644.5294954665564546	-6707.9062583208169599
755145606.0000000000000000	-2798790.7945879334583879	-5273432.2494653565809131	3104439.6624292926862836	-2655.3064336274560446	-2575.7195027424763794	-6749.0741802069896949
755145616.0000000000000000	-2825160.2242015157826245	-5298843.9794930946081877	3036746.7635458847507834	-2618.5218499592510852	-2506.5708092448880961	-6789.3577570752213433
755145626.0000000000000000	-2851160.0868482454679906	-5323562.5669250646606088	2968655.4730135458521545	-2581.3938484834775409	-2437.0925019609248920	-6828.7516259563544736
